id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
EGLD,EGLD,EGLD,Elrond,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EGLD.jpeg,active,57.19940731,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,23690591,24451523,1355087764,0.0014,60,112,14,2020-09-02T00:00:00Z,2020-09-03T00:00:00Z,2020-09-03T00:00:00Z,44,1,492.57857343,2021-11-22T00:00:00Z,61514689.83,0.73289191,0.0130,15875303.48,0.3478,17626058.83,0.0132,,
ICP,ICP,ICP,Dfinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ICP.jpg,active,4.95275932,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,268413047,491054890,1329385223,0.0014,72,128,0,2021-01-30T00:00:00Z,2021-05-06T00:00:00Z,2021-01-30T00:00:00Z,45,-2,455.03733449,2021-05-05T00:00:00Z,65786975.71,-0.11360914,-0.0224,-545268.33,-0.0082,-30358760.54,-0.0223,,2021-03-24T00:11:30.852913Z
XTZ,XTZ,XTZ,Tezos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xtz.svg,active,1.37329141,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,905050553,,1242898146,0.0013,138,489,228,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-09-17T00:00:00Z,46,0,10.52657734,2017-12-17T00:00:00Z,33507111.58,-0.0047358180,-0.0034,7482049.79,0.2875,-4199501.69,-0.0034,,
OP4,OP4,OP,Optimism,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OP4.jpg,active,0.73684481,2022-10-18T00:00:00Z,2022-10-18T17:48:00Z,1650379692,4294967296,1216073707,0.0013,3,31,29,2022-05-31T00:00:00Z,2022-05-31T00:00:00Z,2022-04-26T00:00:00Z,47,0,1.98422987,2022-08-03T00:00:00Z,3645215.56,-0.00066015678,-0.0009,1044679.62,0.4017,-886738.68,-0.0007,OPETH,2022-05-31T17:01:50.668487Z
SAND2,SAND2,SAND,The Sandbox,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SAND2.svg,active,0.77246826,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1504170208,3000000000,1161923747,0.0012,122,283,1,2020-08-09T00:00:00Z,2020-08-14T00:00:00Z,2020-08-11T00:00:00Z,48,0,7.58652422,2021-11-28T00:00:00Z,237695419.23,-0.011972775,-0.0153,34357498.95,0.1690,-17616871.23,-0.0149,ETH,
AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,81.42653924,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,14128784,16000000,1150458006,0.0012,170,780,13,2018-11-26T00:00:00Z,2020-10-02T00:00:00Z,2020-10-04T00:00:00Z,49,3,629.00681830,2021-05-18T00:00:00Z,176842837.49,2.57032531,0.0326,14734985.51,0.0909,36405843.80,0.0327,ETH,
MANA,MANA,MANA,Decentraland,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mana.svg,active,0.63140514,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1813310699,2193488727,1144933694,0.0012,189,464,3,2017-07-17T00:00:00Z,2017-07-17T00:00:00Z,2018-08-29T00:00:00Z,50,-1,5.22228186,2021-11-25T00:00:00Z,151495771.40,-0.011888152,-0.0185,23308062.50,0.1818,-21559482.83,-0.0185,ETH,
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,10.92107422,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,102683813,270000000,1121417546,0.0012,124,269,3,2018-12-12T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,51,-1,160.73538443,2021-11-07T00:00:00Z,206675405.34,-0.17773476,-0.0160,31387391.02,0.1791,-18250483.32,-0.0160,ETH,2020-11-09T16:49:37.895041Z
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,1.04853441,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,1068205809,,1120050553,0.0012,241,1756,138,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,52,-1,20.85172546,2018-04-29T00:00:00Z,345981087.77,-0.0049684191,-0.0047,13771905.80,0.0415,-5216169.18,-0.0046,EOS,
CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.18330097,2022-10-18T00:00:00Z,2022-10-18T17:49:00Z,6006279192,8888888888,1100956817,0.0011,126,336,5,2019-06-29T00:00:00Z,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,53,0,0.70068056,2021-03-12T00:00:00Z,313896105.76,-0.00092856908,-0.0050,26387498.58,0.0918,-5577245.16,-0.0050,CHZ,
